new_cases,date,lag_date,time
15.47117,3/10/2020,2/26/2020,14
14.23347,3/11/2020,2/27/2020,15
12.68636,3/12/2020,2/28/2020,16
18.87482,3/13/2020,2/29/2020,17
18.25598,3/14/2020,3/1/2020,18
17.94655,3/15/2020,3/2/2020,19
39.29677,3/16/2020,3/3/2020,20
38.9873,3/17/2020,3/4/2020,21
64.05063,3/18/2020,3/5/2020,22
85.71027,3/19/2020,3/6/2020,23
98.70605,3/20/2020,3/7/2020,24
104.89451,3/21/2020,3/8/2020,25
102.72855,3/22/2020,3/9/2020,26
104.58509,3/23/2020,3/10/2020,27
166.16034,3/24/2020,3/11/2020,28
156.87764,3/25/2020,3/12/2020,29
163.0661,3/26/2020,3/13/2020,30
161.20956,3/27/2020,3/14/2020,31
220,3/28/2020,3/15/2020,32
275,3/29/2020,3/16/2020,33
229,3/30/2020,3/17/2020,34
272,3/31/2020,3/18/2020,35
292,4/1/2020,3/19/2020,36
314,4/2/2020,3/20/2020,37
268,4/3/2020,3/21/2020,38
205,4/4/2020,3/22/2020,39
215,4/5/2020,3/23/2020,40
236,4/6/2020,3/24/2020,41
298,4/7/2020,3/25/2020,42
236,4/8/2020,3/26/2020,43
